mu,met,j,nmi,nc_norm
25,LV_inc05_ST,0,0.739,0.8378
25,LV_cons_gamma_LIM,0,0.781,1.3514
25,LV_cons_LF,1,0.769,1.2973
25,LV_cons_LF,2,0.769,1.2973
30,LV_inc05_ST,0,0.599,0.8378
30,LV_inc05_ST,0,0.605,0.8649
30,LV_inc05_ST,0,0.589,0.8108
30,LV_inc05_ST,0,0.604,0.8378
30,LV_inc05_ST,0,0.603,0.8649
30,LV_inc05_ST,0,0.607,0.8378
30,LV_inc05_ST,0,0.611,0.8649
30,LV_inc05_ST,0,0.591,0.8108
30,LV_inc05_ST,0,0.611,0.8378
30,LV_inc05_ST,0,0.649,0.9189
30,LV_inc05_ST,0,0.597,0.8649
30,LV_inc05_ST,0,0.586,0.8378
30,LV_inc05_ST,0,0.604,0.8649
30,LV_inc05_ST,0,0.62,0.8649
30,LV_inc05_ST,0,0.631,0.9189
30,LV_inc05_ST,0,0.614,0.8378
30,LV_inc05_ST,0,0.624,0.8919
30,LV_inc05_ST,0,0.61,0.8649
30,LV_inc05_ST,0,0.625,0.8919
30,LV_inc05_ST,0,0.606,0.8378
30,LV_inc05_ST,0,0.631,0.8919
30,LV_inc05_ST,0,0.605,0.8378
30,LV_inc05_ST,0,0.617,0.8649
30,LV_inc05_ST,0,0.61,0.8649
30,LV_inc05_ST,0,0.599,0.8378
30,LV_inc05_ST,0,0.623,0.8649
30,LV_inc05_ST,0,0.6,0.8378
30,LV_inc05_ST,0,0.607,0.8649
30,LV_inc05_ST,0,0.628,0.8649
30,LV_inc05_ST,0,0.601,0.8378
30,LV_inc05_ST,0,0.58,0.8108
30,LV_inc05_ST,0,0.634,0.9189
30,LV_inc05_ST,0,0.61,0.8649
30,LV_inc05_ST,0,0.6,0.8378
30,LV_inc05_ST,0,0.596,0.8108
30,LV_inc05_ST,0,0.617,0.8919
30,LV_inc05_ST,0,0.584,0.8108
30,LV_inc05_ST,0,0.592,0.8378
30,LV_inc05_ST,0,0.589,0.8108
30,LV_inc05_ST,0,0.623,0.8649
30,LV_inc05_ST,0,0.623,0.8649
30,LV_inc05_ST,0,0.629,0.8649
30,LV_inc05_ST,0,0.628,0.8649
30,LV_inc05_ST,0,0.618,0.8649
30,LV_inc05_ST,0,0.597,0.8378
30,LV_inc05_ST,0,0.617,0.8378
30,LV_inc05_ST,0,0.565,0.7838
30,LV_inc05_ST,0,0.627,0.8649
30,LV_inc05_ST,0,0.64,0.8919
30,LV_inc05_ST,0,0.591,0.8108
30,LV_inc05_ST,0,0.605,0.8378
30,LV_inc05_ST,0,0.609,0.8378
30,LV_inc05_ST,0,0.605,0.8108
30,LV_inc05_ST,0,0.609,0.8649
30,LV_inc05_ST,0,0.605,0.8108
30,LV_inc05_ST,0,0.601,0.8649
30,LV_inc05_ST,0,0.638,0.8919
30,LV_inc05_ST,0,0.621,0.8649
30,LV_inc05_ST,0,0.617,0.8649
30,LV_inc05_ST,0,0.592,0.8108
30,LV_inc05_ST,0,0.599,0.8378
30,LV_inc05_ST,0,0.586,0.8108
30,LV_inc05_ST,0,0.614,0.8649
30,LV_inc05_ST,0,0.61,0.8378
30,LV_inc05_ST,0,0.615,0.8649
30,LV_inc05_ST,0,0.587,0.8378
30,LV_inc05_ST,0,0.632,0.8649
30,LV_inc05_ST,0,0.605,0.8108
30,LV_inc05_ST,0,0.605,0.8378
30,LV_inc05_ST,0,0.605,0.8378
30,LV_inc05_ST,0,0.624,0.8919
30,LV_inc05_ST,0,0.623,0.9189
30,LV_inc05_ST,0,0.611,0.8649
30,LV_inc05_ST,0,0.612,0.8649
30,LV_inc05_ST,0,0.611,0.8108
30,LV_inc05_ST,0,0.611,0.8649
30,LV_inc05_ST,0,0.602,0.8108
30,LV_inc05_ST,0,0.605,0.8649
30,LV_inc05_ST,0,0.608,0.8378
30,LV_inc05_ST,0,0.604,0.8378
30,LV_inc05_ST,0,0.616,0.8649
30,LV_inc05_ST,0,0.63,0.8919
